Name,Description,Steps,Category,Prompts Used,Avg Time (min),Success Rate,Status,Last Run,Tags,Notes
Content Pipeline,"Research a topic then draft and edit a publish-ready blog post or article",4,Writing,"Technical Concept Explainer -> Blog Post Outline Generator -> Technical Blog Post Writer -> Email Draft Polisher",45,92%,Active,2026-03-25,content;blog;writing,Most-used workflow. Step 4 repurposed as a general polish step.
Code Review Cycle,"Scan code for issues then generate fixes and test coverage",4,Coding,"Python Code Reviewer -> Refactoring Advisor -> Test Generation Suite -> Bug Report Template",35,88%,Active,2026-03-27,code;review;testing,Works best with Python and TypeScript. Adapt the first prompt for other languages.
Market Research Sprint,"Define market scope then gather and analyse competitive intelligence",4,Marketing,"Market Research Brief -> Competitor Analysis Framework -> Competitive Intelligence Gatherer -> SWOT Analysis Generator",60,85%,Active,2026-03-20,market;research;strategy,Time-intensive but thorough. Use for quarterly strategic planning.
Data Analysis Flow,"Clean and analyse a dataset then generate insights and recommendations",4,Analysis,"Data Cleaning Instructions -> CSV Data Summariser -> Trend Analysis Report -> KPI Dashboard Builder",50,90%,Active,2026-03-26,data;analysis;reporting,Step 1 generates instructions -- you execute them manually then feed clean data to Step 2.
Client Proposal Builder,"Build a complete client proposal from scope to pricing to follow-up",3,Business,"Strategy Document Outliner -> Client Proposal Writer -> Email Sequence Builder",40,82%,Active,2026-03-23,proposal;client;sales,Step 3 generates the follow-up email sequence post-submission.
Weekly Newsletter,"Plan and write a newsletter edition from topic selection to send-ready",3,Writing,"Content Calendar Planner -> Newsletter Draft Writer -> Email Subject Line Tester",30,95%,Active,2026-03-26,newsletter;weekly;email,Highest success rate workflow. Runs like clockwork every Tuesday morning.
Social Media Batch,"Plan and write a week of social media content in one session",3,Marketing,"Content Calendar Planner -> Social Media Thread Writer -> Tagline Generator",25,88%,Active,2026-03-24,social;batch;content,Batch a full week of posts in one sitting. Tagline generator provides CTA options.
Bug Triage,"Document investigate and plan fixes for reported bugs",3,Coding,"Bug Report Template -> Debug Assistant -> Task Breakdown Specialist",20,91%,Active,2026-03-27,bugs;triage;debugging,Fast turnaround workflow. Usually done within a single work session.
Product Launch,"Generate all launch materials from positioning to outreach",5,Marketing,"Audience Persona Builder -> Landing Page Copy Generator -> Email Sequence Builder -> Social Media Thread Writer -> Facebook Ad Copy Generator",90,78%,Active,2026-03-22,launch;product;campaign,Long workflow -- consider splitting across two days. Steps 4-5 can run in parallel.
Competitor Audit,"Deep dive into a specific competitor's strategy and positioning",3,Research,"Competitive Intelligence Gatherer -> Competitor Analysis Framework -> SWOT Analysis Generator",45,84%,Active,2026-03-18,competitor;audit;intelligence,Feed each step's output into the next for compounding depth.
Monthly Report,"Compile monthly business performance into a presentation-ready report",4,Business,"CSV Data Summariser -> Financial Report Interpreter -> Quarterly Business Review Prep -> Presentation Deck Outliner",55,87%,Active,2026-03-10,report;monthly;business,Despite the name the QBR prompt works fine for monthly reviews with minor context changes.
Email Campaign,"Plan and write a multi-touch email campaign",4,Marketing,"Audience Persona Builder -> Email Sequence Builder -> Email Subject Line Tester -> Landing Page Copy Generator",50,80%,Active,2026-03-23,email;campaign;automation,Step 4 generates the landing page the emails drive to. Test subject lines with your ESP's A/B tool.